folder_name,audio_name,audio_url,github_audio_url,cdnjs_url,status
abather-alhalwaji/nasheed/,Every Mother,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_every_mother.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_every_mother.mp3
abather-alhalwaji/nasheed/,Glory Be to Allah,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_glory_be_to_allah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_glory_be_to_allah.mp3
abather-alhalwaji/nasheed/,Mercy of the Lord,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_mercy_of_the_lord.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_mercy_of_the_lord.mp3
abather-alhalwaji/nasheed/,Month of Allah,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_month_of_allah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_month_of_allah.mp3
abather-alhalwaji/nasheed/,Oh My Lord!,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_oh_my_lord.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_oh_my_lord.mp3
abather-alhalwaji/nasheed/,Sound of Adhaan,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_sound_of_adhaan.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_sound_of_adhaan.mp3
abather-alhalwaji/nasheed/,Where Am I?,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_where_am_i.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_where_am_i.mp3
abather-alhalwaji/nasheed/,This Is Hijab,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_this_is_hijab.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_this_is_hijab.mp3
abather-alhalwaji/nasheed/,They Said,https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_they_said.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalwaji_awtar_they_said.mp3
abather-alhalwaji/,ziyarat-ashura,https://www.shiasource.com/wp-content/uploads/2018/08/alhalawaji_ziyarat_ashura.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhalawaji_ziyarat_ashura.mp3
musa-al-asadi/,ziyarat-ashura,https://www.shiasource.com/wp-content/uploads/2018/08/alasadi_ziyarat_ashura.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alasadi_ziyarat_ashura.mp3
abdulrasul-al-hussaini/,ziyarat-ashura,https://www.shiasource.com/wp-content/uploads/2018/08/alhussaini_ziyarat_ashura.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alhussaini_ziyarat_ashura.mp3
walid-al-mazeedi/,ziyarat-ashura,https://www.shiasource.com/wp-content/uploads/2018/08/mazeedi_ziyarat_ashura.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/mazeedi_ziyarat_ashura.mp3
ali-fani/,ziyarat-ashura,https://imamandscience.com/wp-content/uploads/2025/03/Ziyarat-Ashura-Ali-Fani-%D8%B9%D9%84%D9%8A-%D9%81%D8%A7%D9%86%D9%8A-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%B9%D8%A7%D8%B4%D9%88%D8%B1%D8%A7%D8%A1-%D8%B2%DB%8C%D8%A7%D8%B1%D8%AA-%D8%B9%D8%A7%D8%B4%D9%88%D8%B1%D8%A7-%D8%B9%D9%84%DB%8C-%D9%81%D8%A7%D9%86%DB%8C.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/main/ali-fani/ziyarat-ashura.mp3,https://cdn.jsdelivr.net/gh/alihusains/ghadir-media@main/ali-fani/ziyarat-ashura.mp3,already_exists
ali-fani/,ziyarat-waritha,https://imamandscience.com/wp-content/uploads/2025/03/Dua-Ahd-EN-SUB-Ali-Fani.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/main/ali-fani/ziyarat-waritha.mp3,https://cdn.jsdelivr.net/gh/alihusains/ghadir-media@main/ali-fani/ziyarat-waritha.mp3,already_exists
